ID;FECHA DE EXPORTACIÓN;CÓDIGO ENERGIS EXPORTACIÓN;ODT HIJA;ESTADO INICIAL ODT;GRUPO;FECHA DE IMPORTACIÓN;DIA;CÓDIGO ENERGIS IMPORTACIÓN;ESTADO FINAL ODT;BARRIO;ZONA;COMUNA;EXPANSIONES;ACTUALIZACIÓN;NODOS TOTALES;;;
95;24/06/2026;149365;217;EXPORTADA;Levantadores 1;24/06/2026;Miercoles;149594;TERMINADA;AGUACATAL;CENTRO;1;0;8;8;;;
96;02/07/2026;153732;218;EXPORTADA;Levantadores 1;03/07/2026;Viernes;154800;TERMINADA;LA HACIENDA;SUR;17;0;38;38;;;
97;02/07/2026;153733;219;EXPORTADA;Levantadores 1;08/07/2026;Miercoles;157727;TERMINADA;LA HACIENDA;SUR;17;0;42;42;;;
98;02/07/2026;153734;220;EXPORTADA;Levantadores 1;06/07/2026;Lunes;156176;TERMINADA;LA HACIENDA;SUR;17;0;31;31;;;
99;02/07/2026;153735;221;EXPORTADA;Levantadores 1;03/07/2026;Viernes;154809;TERMINADA;LA HACIENDA;SUR;17;0;19;19;;;
100;02/07/2026;153736;222;EXPORTADA;Levantadores 2;08/07/2026;Miercoles;157725;TERMINADA;LA HACIENDA;SUR;17;0;41;41;;;
101;02/07/2026;153737;223;EXPORTADA;Levantadores 2;06/07/2026;Lunes;156172;TERMINADA;LA HACIENDA;SUR;17;2;50;52;;;
102;02/07/2026;153738;224;EXPORTADA;Levantadores 2;06/07/2026;Lunes;156180;TERMINADA;LA HACIENDA;SUR;17;0;19;19;;;
103;02/07/2026;153739;225;EXPORTADA;Levantadores 3;;;;;LA HACIENDA;SUR;17;;;0;;;
104;02/07/2026;153740;226;EXPORTADA;Levantadores 3;;;;;LA HACIENDA;SUR;17;;;0;;;
105;02/07/2026;153741;227;EXPORTADA;Levantadores 3;;;;;LA HACIENDA;SUR;17;;;0;;;
106;02/07/2026;153742;228;EXPORTADA;Levantadores 3;;;;;LA HACIENDA;SUR;17;;;0;;;
107;02/07/2026;153743;229;EXPORTADA;Levantadores 4;03/07/2026;Viernes;154546;TERMINADA;LA HACIENDA;SUR;17;0;30;30;;;
108;02/07/2026;153744;230;EXPORTADA;Levantadores 4;06/07/2026;Lunes;156198;TERMINADA;LA HACIENDA;SUR;17;0;67;67;;;
109;02/07/2026;153745;231;EXPORTADA;Levantadores 4;03/07/2026;Viernes;154786;TERMINADA;LA HACIENDA;SUR;17;0;17;17;;;
